customer_id,segment,age,annual_spend,loyalty_years,nps_score,churn_risk
61,Standard,23,517.54,10,1,Low
62,Premium,29,1012.42,8,6,Low
63,Budget,53,133.84,10,5,Low
64,Standard,49,387.88,2,8,Low
65,Standard,34,367.56,1,9,Medium
66,Standard,47,487.18,3,8,Low
67,Standard,42,296.79,7,8,High
68,Premium,55,654.81,10,3,Low
69,Premium,39,1027.11,7,4,High
70,Standard,49,375.79,2,4,Low
71,Budget,67,188.25,3,5,Medium
72,Standard,45,316.21,2,9,Low
73,Budget,39,138.08,9,9,Low
74,Standard,46,292.37,1,10,High
75,Standard,34,380.7,3,1,Low
76,Premium,64,516.9,5,8,Medium
77,Premium,40,720.04,10,1,Medium
78,Standard,35,243.56,10,2,Low
79,Budget,29,164.29,4,7,Low
80,Budget,50,165.08,2,8,Medium
81,Budget,48,79.44,1,1,Low
82,Standard,33,506.72,8,3,Medium
83,Budget,44,227.41,0,7,High
84,Standard,21,384.37,8,9,Low
85,Premium,40,688.57,0,8,Low
86,Budget,43,238.85,6,8,Medium
87,Standard,57,254.7,5,9,Low
88,Premium,30,824.12,6,10,Low
89,Standard,24,397.06,2,3,Low
90,Standard,28,507.79,2,8,Medium
91,Budget,23,152.59,10,1,Low
92,Standard,53,332.63,0,8,Low
93,Budget,55,106.71,3,7,Medium
94,Premium,42,749.93,11,8,Low
95,Standard,51,284.34,1,1,Low
96,Standard,39,384.54,9,6,High
97,Standard,37,326.4,7,7,Medium
98,Standard,34,238.07,2,5,High
99,Budget,35,183.93,6,5,Low
100,Budget,21,122.58,6,7,Medium
101,Budget,41,95.62,11,3,Low
102,Budget,38,134.11,8,6,Low
103,Budget,46,142.39,5,7,Low
104,Standard,39,214.09,0,1,Low
105,Budget,36,151.61,7,2,High
106,Standard,28,280.52,0,4,Low
107,Standard,39,542.55,2,8,Medium
108,Standard,46,429.78,10,10,Medium
109,Standard,25,342.01,4,6,Medium
110,Standard,39,309.21,7,1,Low
111,Budget,41,136.33,8,10,Medium
112,Standard,30,438.22,6,5,Low
113,Premium,32,814.77,8,7,Low
114,Standard,41,359.37,10,6,High
115,Premium,26,831.97,2,9,Low
116,Premium,42,696.21,4,8,Low
117,Standard,28,347.4,9,4,High
118,Standard,50,181.85,7,5,Low
119,Standard,64,472.5,11,7,Medium
120,Budget,29,150.46,0,8,Low
121,Budget,44,112.93,7,5,Low
122,Standard,30,560.38,6,9,Low
123,Standard,49,388.27,0,10,Low
124,Standard,24,281.57,9,4,Low
125,Budget,43,169.99,11,4,Medium
126,Premium,28,901.6,9,8,Medium
127,Premium,36,900.89,11,1,High
128,Budget,27,125.1,5,8,Low
129,Standard,47,422.8,0,5,Medium
130,Premium,29,766.34,1,1,Medium
131,Standard,44,432.81,4,4,High
132,Budget,34,73.33,1,2,Low
133,Budget,37,124.81,9,4,Medium
134,Budget,40,200.28,0,8,High
135,Standard,30,307.13,5,5,Low
136,Standard,40,322.64,7,1,High
137,Budget,55,124.32,7,7,Low
138,Budget,29,97.48,7,1,Medium
139,Standard,51,170.21,10,9,High
140,Budget,54,131.93,5,3,Medium
141,Premium,29,847.85,10,3,Low
142,Standard,22,375.01,2,6,Low
143,Standard,41,366.24,0,10,High
144,Standard,32,384.09,1,6,Low
145,Budget,59,175.8,4,6,Low
146,Premium,38,780.96,9,1,Medium
147,Standard,29,325.46,4,5,Low
148,Budget,25,130.16,9,6,Low
149,Budget,50,160.28,0,8,Low
150,Premium,32,1109.47,0,1,Low
151,Standard,38,320.33,8,5,Medium
152,Standard,49,389.4,1,3,Medium
153,Premium,33,889.36,6,2,Medium
154,Budget,37,105.26,9,8,High
155,Budget,38,140.71,3,7,High
156,Premium,46,519.54,6,10,Medium
157,Premium,44,457.34,7,7,Low
158,Premium,36,895.18,4,5,Medium
159,Budget,39,126.56,11,9,Low
160,Premium,34,861.47,11,5,Medium
161,Standard,22,378.3,0,2,Medium
162,Standard,41,287.24,3,3,Low
163,Standard,59,375.7,9,4,High
164,Premium,28,567.21,2,5,Low
165,Standard,29,512.14,9,3,Medium
166,Budget,28,92.54,11,7,Low
167,Budget,46,133.15,4,5,High
168,Budget,43,103.52,9,5,Low
169,Premium,36,936.94,9,6,Low
170,Standard,28,348.51,5,7,Low
171,Standard,39,330.73,1,10,Low
172,Standard,21,461.05,6,10,Low
173,Budget,40,141.03,2,8,Medium
174,Standard,48,429.08,0,9,Low
175,Premium,24,618.83,9,4,Low
176,Budget,21,90.83,2,5,Low
177,Budget,55,143.75,8,5,High
178,Premium,31,754.64,9,8,Medium
179,Standard,50,439.51,10,9,Medium
180,Standard,36,372.41,10,7,Medium
181,Standard,36,399.48,5,5,Low
182,Premium,43,487.21,10,3,Low
183,Standard,28,559.4,5,1,Low
184,Budget,39,134.25,3,9,High
185,Standard,34,446.27,7,5,High
186,Premium,23,648.6,4,9,Low
187,Standard,42,409.26,6,10,Low
188,Standard,35,256.23,8,4,Low
189,Budget,36,155.82,4,5,Low
190,Standard,25,346.18,10,4,Medium
191,Premium,56,825.98,4,2,Low
192,Premium,48,963.08,3,1,High
193,Budget,49,96.86,5,8,Low
194,Standard,35,314.97,1,4,High
195,Budget,19,156.01,2,5,Medium
196,Standard,59,579.33,0,6,Medium
197,Standard,37,366.88,1,8,Medium
198,Standard,30,436.16,1,8,Medium
199,Budget,43,136.26,7,7,Medium
200,Budget,51,207.98,7,4,Medium
201,Standard,38,214.01,1,6,Medium
202,Standard,52,388.99,5,4,High
203,Premium,50,486.76,4,7,Medium
204,Standard,26,141.88,2,1,Medium
205,Standard,31,408.26,4,5,High
206,Budget,49,144.88,4,10,Low
207,Budget,18,130.03,4,10,Low
208,Standard,36,369.91,2,4,Low
209,Standard,22,674.34,2,7,Medium
210,Budget,33,130.96,3,9,High
211,Budget,35,157.85,6,5,Low
212,Premium,34,686.88,11,4,Medium
213,Standard,32,408.05,11,9,Medium
214,Standard,26,357.37,11,5,Low
215,Standard,63,341.0,1,9,Medium
216,Premium,59,1192.87,9,8,High
217,Premium,25,1061.32,3,4,Low
218,Standard,55,392.99,3,7,Medium
219,Standard,34,161.1,0,5,Medium
220,Premium,39,745.99,9,10,Low
221,Standard,37,636.79,7,4,Low
222,Budget,31,131.93,0,5,High
223,Budget,49,178.61,7,5,Low
224,Standard,39,516.98,6,9,Low
225,Standard,33,400.8,8,9,Low
226,Budget,24,110.54,7,6,Medium
227,Standard,28,148.65,4,4,Medium
228,Standard,20,445.0,7,2,Medium
229,Standard,38,302.6,10,3,Low
230,Premium,25,856.11,9,2,High
231,Standard,35,261.27,11,5,Low
232,Budget,53,130.72,11,6,Low
233,Standard,51,383.2,2,5,Low
234,Standard,38,405.52,9,2,Low
235,Budget,37,100.98,6,5,High
236,Premium,59,1065.37,11,9,High
237,Standard,44,323.29,3,4,Low
238,Standard,34,220.93,4,10,High
239,Standard,22,369.64,8,2,Medium
240,Premium,42,827.05,6,3,High
241,Standard,47,395.26,3,3,Low
242,Standard,31,509.4,5,9,Medium
243,Standard,41,357.54,9,4,Low
244,Standard,34,368.64,10,1,High
245,Standard,36,275.2,6,1,Low
246,Premium,18,988.21,9,7,Medium
247,Standard,36,397.51,8,7,Low
248,Premium,49,733.89,3,2,Low
249,Budget,31,73.34,9,9,Medium
250,Standard,39,517.22,2,9,High
251,Standard,30,263.37,7,5,Medium
252,Budget,42,119.31,0,3,High
253,Standard,36,414.04,8,3,Low
254,Standard,28,266.33,0,3,Medium
255,Budget,53,87.73,1,6,Low
256,Budget,48,65.66,7,4,Low
257,Standard,31,448.49,8,8,Medium
258,Premium,43,708.24,6,5,Medium
259,Standard,44,658.09,2,1,Medium
260,Budget,45,105.2,6,9,Medium
261,Premium,19,631.1,5,1,Medium
262,Standard,49,326.29,1,6,Low
263,Budget,32,148.51,2,1,Low
264,Premium,34,723.61,10,3,Medium
265,Budget,67,161.43,11,10,Low
266,Standard,41,287.03,9,5,Low
267,Standard,34,248.75,9,10,Low
268,Premium,18,451.37,11,7,Medium
269,Budget,53,62.17,4,10,Low
270,Standard,23,330.78,9,8,Medium
271,Standard,27,351.41,3,9,Medium
272,Standard,34,320.01,1,6,Low
273,Budget,54,183.52,3,9,Medium
274,Budget,47,182.98,11,8,Medium
275,Standard,36,348.19,7,9,Medium
276,Standard,41,209.58,4,10,Medium
277,Budget,31,120.17,4,4,Low
278,Standard,40,323.02,11,9,Medium
279,Standard,39,317.57,11,7,Low
280,Premium,49,676.97,9,5,High
281,Budget,49,117.13,2,5,High
282,Standard,43,343.28,7,1,Medium
283,Standard,34,319.62,5,2,Low
284,Standard,46,399.79,1,10,Low
285,Premium,37,893.88,1,3,Low
286,Standard,26,293.49,8,8,Low
287,Premium,34,1080.57,6,6,Low
288,Standard,39,286.89,9,10,Medium
289,Standard,48,226.31,8,5,Low
290,Standard,36,416.17,5,1,High
291,Budget,25,111.39,4,9,Low
292,Budget,39,151.25,11,3,High
293,Budget,39,55.87,0,3,High
294,Premium,40,1105.45,11,2,Medium
295,Premium,48,957.82,5,4,Medium
296,Standard,49,237.45,5,2,Low
297,Budget,31,88.24,2,9,Medium
298,Budget,31,198.53,2,10,Low
299,Budget,27,114.19,2,7,Low
300,Standard,46,300.75,2,8,Medium
301,Standard,54,164.73,6,3,Low
302,Standard,35,346.68,9,6,Medium
303,Premium,35,773.32,10,10,Low
304,Premium,54,966.68,1,6,Low
305,Budget,44,91.03,9,1,Low
306,Standard,43,235.57,9,6,Low
307,Standard,25,422.84,1,3,Low
308,Premium,45,1026.38,2,3,Low
309,Budget,28,85.01,9,3,Low
310,Standard,26,482.74,11,10,High
311,Standard,34,383.57,6,10,Low
312,Budget,32,178.21,2,8,Medium
313,Standard,36,373.33,6,5,Low
314,Standard,22,140.38,8,4,High
315,Premium,49,788.85,10,9,Low
316,Premium,50,1037.33,9,9,Low
317,Budget,18,108.72,11,1,Medium
318,Budget,49,126.42,10,2,Low
319,Standard,29,363.27,3,8,Medium
320,Standard,47,104.55,6,5,Low
321,Standard,37,538.78,8,7,High
322,Premium,38,635.22,7,1,Low
323,Standard,36,428.04,7,10,Low
324,Standard,51,371.76,8,5,Medium
325,Standard,24,499.47,4,3,Low
326,Budget,45,154.21,4,10,High
327,Standard,50,357.68,2,2,Low
328,Premium,46,636.83,4,2,Medium
329,Standard,64,455.8,7,9,Low
330,Budget,32,74.43,11,4,High
331,Standard,49,441.36,4,4,Medium
332,Premium,37,594.7,3,7,Low
333,Standard,52,498.97,7,10,Low
334,Budget,38,145.65,6,10,Low
335,Standard,34,441.19,5,2,High
336,Budget,52,142.87,4,3,Low
337,Budget,33,78.67,4,3,Low
338,Budget,22,109.87,9,6,Low
339,Standard,32,443.88,1,3,Low
340,Standard,45,395.83,3,5,Medium
341,Premium,53,1062.1,7,4,High
342,Budget,39,154.11,7,3,Medium
343,Standard,53,288.16,10,8,High
344,Premium,23,656.81,0,10,Medium
345,Standard,33,389.78,1,3,Low
346,Standard,35,160.17,4,6,Low
347,Standard,37,538.98,8,7,Medium
348,Standard,39,421.97,9,7,High
349,Standard,46,496.57,10,2,High
350,Budget,33,84.68,11,3,Low
351,Standard,40,498.23,10,10,Low
352,Standard,38,591.99,6,10,Low
353,Standard,28,254.52,9,4,High
354,Standard,37,453.28,4,7,High
355,Budget,36,140.04,0,2,Medium
356,Standard,36,233.28,5,3,Low
357,Standard,38,426.82,11,7,Medium
358,Premium,39,990.89,7,7,Low
359,Budget,33,118.96,6,10,Low
360,Standard,52,490.76,1,3,Medium
361,Budget,25,81.66,11,1,Low
362,Premium,30,513.57,4,3,Low
363,Standard,69,392.98,10,5,High
364,Standard,27,382.41,3,7,Medium
365,Budget,23,114.92,8,4,Low
366,Standard,46,456.91,9,1,Medium
367,Budget,18,158.58,0,6,Low
368,Standard,35,461.52,11,2,Medium
369,Standard,62,368.3,5,3,Medium
370,Premium,21,943.53,2,4,Medium
371,Budget,18,124.4,10,6,Medium
372,Standard,22,575.11,8,6,Low
373,Budget,48,111.56,4,7,Low
374,Budget,50,213.69,5,5,Low
375,Budget,32,141.22,10,7,Low
376,Standard,46,249.33,8,2,Medium
377,Standard,53,509.97,8,1,Low
378,Budget,58,144.41,7,10,Low
379,Premium,35,994.48,8,8,Low
380,Standard,18,496.27,3,1,High
381,Premium,29,889.28,5,2,Low
382,Standard,33,323.74,4,10,Medium
383,Premium,35,1020.02,4,6,Low
384,Premium,36,820.15,3,1,Low
385,Standard,50,445.16,1,10,Low
386,Standard,52,175.4,11,3,Medium
387,Standard,36,422.46,5,7,Medium
388,Premium,50,689.09,8,8,High
389,Standard,42,537.06,11,4,Low
390,Premium,39,947.73,0,3,Low
391,Standard,48,402.79,6,1,High
392,Standard,39,426.2,5,9,Low
393,Standard,61,285.15,2,10,Medium
394,Budget,22,196.81,0,6,Medium
395,Standard,32,569.18,3,6,Low
396,Budget,37,153.75,8,9,Medium
397,Standard,43,531.09,1,1,Low
398,Standard,52,325.93,2,6,Low
399,Standard,38,304.27,1,5,Low
400,Premium,22,828.39,1,6,High
